127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.094000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.094000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.141000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.110000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.109000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 13:58:34, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp, HTTP/1.1, 200, 0.407000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-01-21 14:00:10, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-01-21 14:00:11, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:11, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:00:11, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.047000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.062000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.062000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.094000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.078000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.125000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.047000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000000
